epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,4093.64,1.46161,0.98205,0.89222,0.43973,0.33912,0.31541,0.17714,1.4089,0.98753,0.8936,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4391.94,1.46128,0.98044,0.89013,0.4338,0.34801,0.31731,0.17754,1.40647,0.98756,0.89235,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4457.48,1.4565,0.97208,0.88942,0.44295,0.34601,0.31935,0.1781,1.40397,0.98391,0.89076,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4520.92,1.45588,0.97422,0.89045,0.44779,0.34001,0.31704,0.17703,1.40909,0.98843,0.89303,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4587.07,1.45012,0.96957,0.8892,0.4446,0.3421,0.31832,0.17848,1.40399,0.9826,0.89172,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4651.07,1.44579,0.96241,0.88821,0.438,0.34699,0.31741,0.17831,1.39977,0.98081,0.89131,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4714.45,1.43977,0.96067,0.88823,0.43501,0.35079,0.32021,0.17929,1.4002,0.98212,0.89167,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4778.37,1.45403,0.96995,0.8892,0.43765,0.34673,0.31909,0.17809,1.40237,0.98247,0.89038,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4842.99,1.45374,0.96422,0.88742,0.44142,0.34417,0.32032,0.1785,1.40396,0.97914,0.89229,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4910.96,1.44006,0.95651,0.88823,0.45009,0.34388,0.32041,0.17865,1.40201,0.97859,0.89191,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4973.52,1.44069,0.9518,0.88616,0.44116,0.34564,0.32244,0.18052,1.39928,0.97727,0.89078,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5188.01,1.4481,0.96,0.88685,0.44796,0.34484,0.3219,0.17994,1.40042,0.97886,0.89102,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5250.55,1.44156,0.95243,0.88658,0.43966,0.34724,0.32148,0.17907,1.4034,0.98096,0.89157,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5313.22,1.43824,0.94726,0.88638,0.4435,0.34839,0.32294,0.17998,1.40069,0.97797,0.89103,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5375.49,1.43167,0.94607,0.88581,0.45387,0.3461,0.32147,0.17951,1.40374,0.97872,0.89157,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5438.25,1.43699,0.94633,0.88487,0.44554,0.34308,0.31971,0.17893,1.40134,0.97683,0.89081,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5508.81,1.42571,0.93971,0.88529,0.45147,0.34245,0.32126,0.17922,1.39915,0.97533,0.89017,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5571.13,1.42575,0.94008,0.88507,0.46113,0.34195,0.32314,0.18026,1.39908,0.97569,0.89012,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5633.64,1.43436,0.94554,0.88467,0.44661,0.34522,0.32232,0.17985,1.39783,0.97544,0.89013,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5695.86,1.42377,0.93308,0.88545,0.44321,0.34841,0.3227,0.18059,1.40043,0.97463,0.89043,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5758.89,1.42789,0.93531,0.88265,0.45101,0.34763,0.32172,0.17996,1.39895,0.97759,0.89081,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5826.5,1.42459,0.93305,0.88532,0.45151,0.34438,0.32367,0.18043,1.3991,0.97396,0.89064,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5888.8,1.4182,0.93101,0.88325,0.44637,0.34589,0.32202,0.18017,1.39805,0.9741,0.89048,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5951.15,1.42054,0.92861,0.88288,0.45169,0.34336,0.32393,0.18081,1.39991,0.9749,0.89037,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6014.06,1.41928,0.9241,0.88219,0.4442,0.34936,0.32369,0.18145,1.39896,0.97298,0.89064,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6077.28,1.41512,0.9242,0.88067,0.44078,0.35298,0.32174,0.17984,1.3989,0.97412,0.89054,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6139.83,1.41824,0.92677,0.88182,0.44552,0.35092,0.3228,0.1802,1.39806,0.97367,0.88968,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6202.03,1.41625,0.92325,0.88075,0.44774,0.35089,0.32435,0.18127,1.39655,0.97218,0.88996,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,6263.75,1.36808,0.89969,0.88578,0.44595,0.34725,0.32151,0.18011,1.39973,0.97413,0.89087,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,6321.72,1.3561,0.87891,0.88286,0.448,0.34777,0.3202,0.17939,1.39871,0.97449,0.89052,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6379.16,1.35427,0.87632,0.88223,0.45125,0.34915,0.32016,0.17992,1.39868,0.9738,0.8902,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,6437.04,1.34582,0.86887,0.88104,0.45677,0.34583,0.32046,0.1797,1.39896,0.97365,0.89025,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,6494.82,1.34605,0.86569,0.88112,0.45258,0.346,0.32037,0.17912,1.39867,0.97401,0.89006,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,6552.59,1.34045,0.86295,0.87928,0.4551,0.34779,0.32124,0.17914,1.39751,0.97343,0.88972,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,6609.89,1.33718,0.85878,0.87943,0.45677,0.34826,0.32127,0.17911,1.39708,0.9743,0.88968,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,6668.14,1.33895,0.85901,0.87976,0.45594,0.34686,0.3205,0.17867,1.39721,0.97355,0.88963,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,6726.28,1.33336,0.85516,0.87823,0.45371,0.34597,0.32125,0.17874,1.39775,0.97349,0.8898,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,6784.1,1.33699,0.85339,0.87857,0.45458,0.3461,0.32089,0.17877,1.3973,0.97371,0.88971,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
